Date,Audiences,MovieID
20130804,61083,20136962
20130805,29530,20136962
20130806,26871,20136962
20130807,21566,20136962
20130808,20019,20136962
20130809,25188,20136962
20130810,32569,20136962
20130811,26539,20136962
20130812,17794,20136962
20130813,18341,20136962
20130814,1972,20136962
20130815,2207,20136962
20130816,1548,20136962
20130817,1949,20136962
20130818,1139,20136962
20130819,898,20136962
20130820,898,20136962
20130821,813,20136962
20130822,578,20136962
20130823,9,20136962
20130824,24,20136962
20130825,28,20136962
20130826,7,20136962
20130827,12,20136962
20130828,9,20136962
20121219,283842,20128274
20121220,133799,20128274
20121221,172343,20128274
20121222,313399,20128274
20121223,302960,20128274
20121224,307788,20128274
20121225,355821,20128274
20121226,138749,20128274
20121227,136281,20128274
20121228,170390,20128274
20121229,294762,20128274
20121230,286503,20128274
20121231,254263,20128274
20130101,293220,20128274
20130102,96037,20128274
20130103,83450,20128274
20130104,99915,20128274
20130105,226161,20128274
20130106,199581,20128274
20130107,74536,20128274
20130108,76308,20128274
20130109,58537,20128274
20130110,57430,20128274
20130111,73295,20128274
20130112,148029,20128274
20130113,130231,20128274
20130114,54180,20128274
20130115,59389,20128274
20130116,57223,20128274
20130117,48945,20128274
20130118,58419,20128274
20130119,112883,20128274
20130120,100572,20128274
20130121,42372,20128274
20130122,45228,20128274
20130123,35610,20128274
20130124,33224,20128274
20130125,37437,20128274
20130126,69930,20128274
20130127,59568,20128274
20130128,25632,20128274
20130129,24668,20128274
20130130,15635,20128274
20130131,15759,20128274
20130201,16326,20128274
20130202,25636,20128274
20130203,20449,20128274
20130204,10480,20128274
20130205,11996,20128274
20130206,4561,20128274
20130207,3902,20128274
20130208,6660,20128274
20130209,5675,20128274
20130210,5818,20128274
20130211,8524,20128274
20130212,8588,20128274
20130213,6098,20128274
20130214,2804,20128274
20130215,3242,20128274
20130216,4415,20128274
20130217,4458,20128274
20130218,2529,20128274
20130219,2646,20128274
20130220,2376,20128274
20130221,1583,20128274
20130222,1504,20128274
20130223,2584,20128274
20130224,2996,20128274
20130225,1218,20128274
20130226,1783,20128274
20130227,1611,20128274
20130228,1071,20128274
20130301,2509,20128274
20130302,1962,20128274
20130303,1742,20128274
20130304,497,20128274
20130305,554,20128274
20130306,596,20128274
20130307,250,20128274
20130308,392,20128274
20130309,726,20128274
20130310,666,20128274
20130311,230,20128274
20130312,373,20128274
20130313,408,20128274
20130314,169,20128274
