ActorID,BirthDate,Name,TotalAudiences
20111975,19860513,로버트 패틴슨,9406739
10017136,19800921,로버트 호프만,1044659
10017413,19510721,로빈 윌리엄스,7319365
10017458,19790509,로자리오 도슨,1846180
10017663,19790127,로자먼드 파이크,1764233
10017836,19790724,로즈 번,6519732
10017849,19741026,로즈마리 드윗,2385108
20113116,19870418,로지 헌팅턴-휘틀리,11628086
10018055,19500413,론 펄먼,2539113
10018250,19720415,루 로마노,1025205
10018293,19770911,루다크리스,3424814
10018479,19681202,루시 리우,8638741
10018602,19570101,루이스 구즈만,1924414
10018889,19821129,루카스 블랙,3424814
10018892,19900810,루카스 틸,2938818
20129264,19790415,루크 에반스,8557481
10018956,19880824,루퍼트 그린트,18522408
10059402,19830301,루피타 뇽오,2537438
20111932,19791206,류담,1717566
10019043,19870612,류덕환,9320649
20236647,19880915,류선영,1110246
10019059,19790905,류수영,11374859
10019065,19701129,류승룡,68558410
10019067,19800809,류승범,23153899
10019068,19720812,류승수,5411083
10019069,19731215,류승완,1021631
20208626,19860925,류준열,5316015
10019124,19721116,류진,558807
10019134,19630117,류태호,1763231
10019138,19830310,류현경,9435033
20113462,19910328,류혜영,1046015
10019170,19540217,르네 루소,3610564
10019207,19690425,르네 젤위거,2258429
10019501,19720926,리민,6436508
10019511,19671004,리브 슈라이버,1280734
10019513,19770701,리브 타일러,991417
10055765,19750227,리빙빙,5295836
10019770,19520607,리암 니슨,22651898
10019779,19900113,리암 헴스워스,1500830
10019900,19820630,리지 캐플란,3100113
10020004,19620123,리차드 록스버그,872828
10020162,19710822,리차드 아미티지,9309587
20127969,19880220,리한나,2241687
10020846,19770516,린 콜린스,1022262
10021068,19670220,릴리 테일러,2262758
10057917,19900702,마고 로비,1898220
10021341,19710301,마동석,33461723
10021902,19670418,마리아 벨로,4090885
10022184,19750930,마리옹 꼬띠아르,5827444
10022495,19720727,마야 루돌프,2801949
10022607,19620501,마이아 모겐스턴,841006
10022667,19630525,마이크 마이어스,6712388
10022867,19440925,마이클 더글라스,2841795
10022981,19601127,마이클 리스폴리,1998059
20115327,19680705,마이클 스털버그,5446239
10023279,19871203,마이클 안가라노,1211882
10023474,19330314,마이클 케인,28132630
10023532,19510905,마이클 키튼,2625599
20112618,19770402,마이클 패스벤더,9786541
10023591,19760113,마이클 페나,3286528
20184490,19870220,마일즈 텔러,1589032
10024081,19671122,마크 러팔로,21306848
20112216,19710605,마크 월버그,5295836
10024468,19510925,마크 해밀,2803234
20112632,19660630,마튼 초카스,2147012
10024647,19670803,마티유 카소비츠,763078
10024731,19400803,마틴 쉰,4853123
10024795,19710908,마틴 프리먼,8509783
10024867,19290410,막스 본 시도우,4373915
10025008,19830921,매기 그레이스,6528591
10025026,19771116,매기 질렌할,4060490
10025029,19790522,매기 큐,4202239
10025047,19651122,매즈 미켈슨,5446239
10025110,19780403,매튜 구드,1743963
20113063,19691104,매튜 매커너히,10105247
10025154,19741017,매튜 맥퍼딘,882967
10025241,19660714,매튜 폭스,6245254
20128271,20000507,맥스웰 페리 코튼,980387
10025487,19840410,맨디 무어,1011163
10025511,19701008,맷 데이먼,12064016
20126368,19821028,맷 스미스,3240370
10025536,19601029,맹상훈,1003026
10025537,19911113,맹세창,14262198
10001364,19760807,메간 게일,3843343
10025621,19860516,메간 폭스,14782686
10025732,19841128,메리 엘리자베스 윈스티드,1438056
10025686,19640802,메리-루이스 파커,3004649
10025792,19490622,메릴 스트립,5919408
10025926,19830221,멜라니 로랑,2718227
10025976,19700826,멜리사 맥카시,2318748
10026087,19370601,모건 프리먼,17628100
10026146,19640930,모니카 벨루치,2661766
10026215,19790602,모레나 바카린,3317196
10026415,19940418,모이세스 아리아스,1400301
10026663,19750920,문 블러드굿,4499776
20198586,19960710,문가영,2367237
10026674,19870506,문근영,9095282
10026716,19530528,문성근,5637638
10026732,19740702,문소리,16958909
10026741,19540519,문숙,2053435
10026760,19680000,문영동,28346746
10026776,19800000,문원주,2985483
10026789,19820000,문재원,3330324
10026802,19760000,문정희,16277204
10026816,19840218,문지윤,1786831
10026825,19861113,문채원,9362626
10026863,19650828,문희경,1181233
10026997,19580303,미란다 리차드슨,1368508
10026999,19671216,미란다 오토,2642874
20112358,19930514,미란다 코스그로브,1027050
20147611,19750922,미레유 에노스,5237525
10027165,19780712,미셸 로드리게즈,5215730
10027183,19760323,미셸 모나한,3569862
10027153,19811215,미쉘 독커리,2084482
10027333,19721116,미시 파일,1764233
20112617,19891014,미아 와시코브스카,2147012
10027421,19580128,미우라 토모카즈,1065967
10027673,19520916,미키 루크,5763414
10027787,19790624,민디 캘링,4969735
20128452,19900429,민지,4018059
10027862,19370826,민지환,3035086
20112889,19860205,민효린,12272594
10027885,19751217,밀라 요보비치,1190008
10027886,19830814,밀라 쿠니스,1623310
10028008,19881214,바네사 허진스,1149628
10028329,19410629,바이쇼 치에코,2432351
10028409,19771101,박건형,1856759
20150526,19430000,박광남,925661
10028480,19850108,박그리나,2492552
10028490,19400607,박근형,2596665
10028507,19850213,박기웅,14429716
10028517,19680000,박길수,22685223
20126810,19710518,박노식,42082948
10028551,19720911,박대희,2985483
10028550,19731219,박대희,1021631
20166242,19701015,박동빈,765720
20175524,20070702,박민하,3117859
10028644,19650925,박민희,1670652
10028660,19770714,박병은,18187502
20191126,19930616,박보검,26250789
10028667,19900212,박보영,16553696
20167960,20030304,박사랑,7827373
10028686,19680127,박상면,1514708
10028688,19701019,박상민,1532632
20110711,19760118,박상욱,4252698
20211007,19881216,박서준,4245960
10028766,19720000,박성빈,830538
10028773,19730109,박성웅,22781817
20209686,19910908,박소담,25102986
10028829,19780103,박솔미,2079989
20158628,19700000,박수영,18820956
20158632,19750321,박수용,1012310
20158704,19831011,박수환,811772
10028859,19860818,박슬기,813164
10028880,19790329,박시연,4097006
10028886,19780403,박시후,2729798
10028888,19681101,박신양,4835414
10028892,19900218,박신혜,20529083
10028934,19811019,박영서,12180475
10028965,19810401,박예진,1301582
20110884,19461226,박용식,6088686
10028989,19710316,박용우,9717363
10029002,19770812,박용하,1517096
10029013,19700120,박원상,27198565
20127310,19860604,박유천,1475507
20132417,19671227,박윤희,5027096
20112070,19920904,박은빈,6959083
10029055,19521010,박은수,1265508
10029077,19750518,박인수,1584168
10029093,19450106,박인환,10863582
10029157,19740000,박정률,1724709
20110693,19870225,박정민,11769350
20111074,19810224,박정아,2073641
10029193,19641114,박정학,12752565
20112032,19820907,박종환,9707581
10029241,19721002,박주미,6611539
20111116,19640627,박준규,4136977
10029265,19760000,박준면,5714072
10029293,19660322,박중훈,15287363
10029298,19950314,박지빈,2194600
20111145,19800317,박지연,1872681
20110875,19681208,박지영,6992822
20110896,19800905,박지환,23658003
20064130,19780204,박진수,1559134
20110924,19730320,박진우,15038522
20112886,19881224,박진주,7362657
20110927,19780108,박진희,3584783
20110935,19670528,박철민,44971137
20133526,19830228,박철호,1191683
10029413,19600422,박철호,1191683
10029425,19640115,박충선,5345819
10029444,19720805,박태준,2979213
10029463,19841117,박한별,846903
10029474,19770126,박해일,35050692
20161741,19760614,박해준,5020139
10029480,19710711,박혁권,10830640
20233686,19941124,박혜수,1124815
20110789,19480813,박혜숙,6959083
10029573,19821008,박효주,22429064
10029574,19800612,박효준,2637451
10029595,19700213,박희순,15679395
10029659,19591231,발 킬머,1070986
10030016,19791011,배두나,19910342
20136191,19721121,배성우,44720315
10030161,19761209,배수빈,2940475
20125828,19941010,배수지,4111068
20111834,19860822,배유람,1128288
10030215,19720226,배재일,1298666
10030226,19640513,배종옥,2226971
